"taxon.name","taxon.rank","identifications_count","created_at","observed_on","longitude","latitude","positional_accuracy","user.login","user.id","user.name","user.observations_count","user.identifications_count","user.activity_count","license_code","num_identification_agreements","uri","stateProvince","season"
"Carpobrotus edulis","species",2,"2020-11-22T21:03:27-03:00","2020-11-22",-54.17014667,-34.66433667,5,"mateoalmada",1414687,,233,0,233,"cc-by-nc",2,"https://www.inaturalist.org/observations/65441727","Rocha","primavera"
"Carpobrotus edulis","species",1,"2020-10-30T09:11:29-03:00","2020-10-30",-56.04106936,-34.88521855,6,"cameronr",2911172,"Roderick Cameron",308,44,352,"cc-by-sa",1,"https://www.inaturalist.org/observations/63814798","Montevideo","primavera"
"Carpobrotus edulis","species",1,"2020-10-30T09:10:42-03:00","2020-10-30",-56.04116072,-34.88520251,6,"cameronr",2911172,"Roderick Cameron",308,44,352,"cc-by-sa",1,"https://www.inaturalist.org/observations/63814772","Montevideo","primavera"
"Carpobrotus edulis","species",2,"2020-09-15T09:56:28-03:00","2020-09-15",-55.3857449,-34.7828748,2299,"eugenia47",3459757,"Eugenia Larramendi",68,0,68,,2,"https://www.inaturalist.org/observations/59671950","Maldonado","invierno"
"Carpobrotus edulis","species",2,"2020-09-14T11:20:37-03:00","2020-09-13",-54.9138029292,-34.9425543475,118,"belen_olivera",2726254,"Belén Olivera",79,0,79,"cc-by-nc",2,"https://www.inaturalist.org/observations/59574883","Maldonado","invierno"
"Carpobrotus edulis","species",1,"2020-08-19T03:59:41+00:00","2011-11-13",-54.6451455,-34.8359146,1791,"barrylyons",1243227,"Barry Lyons",3536,1123,4659,,1,"https://www.inaturalist.org/observations/56907033","Maldonado","primavera"
"Carpobrotus edulis","species",2,"2020-08-07T16:38:56-03:00","2020-07-25",-55.837333,-34.7842879722,,"osvaldo-1947",2697822,"Osvaldo Montañez",97,0,97,"cc-by-nc",2,"https://www.inaturalist.org/observations/55727449","Canelones","invierno"
"Carpobrotus edulis","species",1,"2020-07-26T12:18:07-03:00","2020-07-26",-55.0407406309,-34.8926790096,96,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",1,"https://www.inaturalist.org/observations/54402909","Maldonado","invierno"
"Carpobrotus edulis","species",2,"2020-06-26T16:10:42-03:00","2020-06-26",-53.5410614418,-34.0482921972,12,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/51015314","Rocha","otoño"
"Carpobrotus edulis","species",3,"2020-06-26T16:06:45-03:00","2020-06-26",-53.539507737,-34.0481783208,16,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",3,"https://www.inaturalist.org/observations/51014843","Rocha","otoño"
"Carpobrotus edulis","species",2,"2020-05-24T12:31:41-03:00","2020-05-24",-55.0129603253,-34.909718578,16,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/47125259","Maldonado","otoño"
"Carpobrotus edulis","species",1,"2020-05-24T12:30:43-03:00","2020-05-24",-55.0127979529,-34.9095699098,16,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",1,"https://www.inaturalist.org/observations/47125100","Maldonado","otoño"
"Carpobrotus edulis","species",2,"2020-05-04T01:37:21-03:00","2020-05-03",-55.047045323,-34.9149685145,4,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/44843908","Maldonado","otoño"
