observed_on,longitude,latitude,user.login,user.id,uri,stateProvince,season,reviewer,density,phenology,infrastructure
09/01/2023,-55390788,-34791351,roman_lopez,4655629,https://www.inaturalist.org/observations/146307705,Maldonado,verano,Mati,alta,fruiting,0
10/01/2023,-55713827,-34765907,laacolito,1791518,https://www.inaturalist.org/observations/146306693,Canelones,verano,Mati,media,fruiting,1
10/01/2023,-55714582,-34766548,laacolito,1791518,https://www.inaturalist.org/observations/146306434,Canelones,verano,Mati,media,no evidence of flowering/fruiting,0
10/01/2023,-55713908,-34765491,laacolito,1791518,https://www.inaturalist.org/observations/146306222,Canelones,verano,Mati,media,fruiting,0
10/01/2023,-53782733,-34284438,tianal,2513920,https://www.inaturalist.org/observations/146294366,Rocha,verano,Mati,alta,fruiting,1
10/01/2023,-53782308,-34283483,tianal,2513920,https://www.inaturalist.org/observations/146294199,Rocha,verano,Mati,alta ,fruiting,1
09/01/2023,-55419475,-34781765,victoria_bartaburu_debali,6424146,https://www.inaturalist.org/observations/146280646,Canelones,verano,Mati,NA,no evidence of flowering/fruiting,0
09/01/2023,-55419475,-34781765,victoria_bartaburu_debali,6424146,https://www.inaturalist.org/observations/146280645,Canelones,verano,Mati,alta,fruiting,1
20/11/2022,-55995359,-3486023,camilo303,6423905,https://www.inaturalist.org/observations/146274697,Canelones,primavera,Mati,alta,flowering/flower budding,0
10/01/2023,-55566597,-347836,facucs,5242039,https://www.inaturalist.org/observations/146251684,Canelones,verano,Mati,media,no evidence of flowering/fruiting,0
09/01/2023,-55462988,-34793925,rodrigo601,5156926,https://www.inaturalist.org/observations/146234118,Canelones,verano,Mati,alta,fruiting,0
09/01/2023,-53789948,-34335892,lcapurro,5249637,https://www.inaturalist.org/observations/146211779,Rocha,verano,Mati,alta,fruiting,1
08/01/2023,-55313501,-34832626,lula_kig,2482374,https://www.inaturalist.org/observations/146158085,Maldonado,verano,Mati,media,fruiting,0
16/03/2008,-55763688,-34769485,christiangilli,2616302,https://www.inaturalist.org/observations/145908480,Canelones,verano,Mati,media,no evidence of flowering/fruiting,0
19/10/2015,-55746036,-34778221,christiangilli,2616302,https://www.inaturalist.org/observations/145689039,Canelones,primavera,Mati,media,flowering/fruiting,0
27/12/2022,-55053982,-34883177,diego_v,2685232,https://www.inaturalist.org/observations/145228162,Maldonado,primavera,Mati,baja,fruiting,0
25/12/2022,-54662853,-34840501,diego_v,2685232,https://www.inaturalist.org/observations/145053220,Maldonado,primavera,Mati,alta,no evidence of flowering/fruiting,0
25/02/2011,-54951849,-34973184,pabloscazzina,3669123,https://www.inaturalist.org/observations/145046175,Maldonado,verano,Mati,alta,no evidence of flowering/fruiting,1
22/12/2022,-55750647,-34780074,diego_v,2685232,https://www.inaturalist.org/observations/144894147,Canelones,primavera,Mati,baja,fruiting,0
26/11/2022,-55391625,-34780519,leila155,5503949,https://www.inaturalist.org/observations/143260064,Maldonado,primavera,Mati,baja,flowering/flower budding,0
16/11/2022,-53779591,-34405722,bencostamagna,3297756,https://www.inaturalist.org/observations/142292751,Rocha,primavera,Mati,media,flowering/flower budding,0
03/11/2022,-55975773,-34849097,joaco13,6298707,https://www.inaturalist.org/observations/141403425,Canelones,primavera,Mati,alta,flowering/flower budding,0
28/10/2022,-54940158,-34952106,crunglo,4926857,https://www.inaturalist.org/observations/141124615,Maldonado,primavera,Mati,media,flowering/flower budding,0
18/10/2022,-55016649,-34909905,fede03araujo,6240997,https://www.inaturalist.org/observations/139243688,Maldonado,primavera,Mati,media,flowering/flower budding,0
07/10/2022,-54973769,-3491887,enriquecenoz,5890577,https://www.inaturalist.org/observations/137897275,Maldonado,primavera,Mati,media,flowering/flower budding,0
24/06/2022,-55696318,-34760328,intendencia_de_canelones,5779479,https://www.inaturalist.org/observations/136060363,Canelones,otoño,Mati,baja,no evidence of flowering/fruiting,0
